set_num,name,num_parts,set_img_url,set_url,last_modified_dt
fig-008317,"Red Torso Plaid, Dark Bluish Grey Legs, Reddish Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-008317/105609.jpg,https://rebrickable.com/minifigs/fig-008317/red-torso-plaid-dark-bluish-grey-legs-reddish-brown-hair/,2020-05-27T17:08:29.825621Z
fig-008318,"Light Bluish Grey Torso, Dark Tan Legs, Mustache, Barrett",5,https://cdn.rebrickable.com/media/sets/fig-008318/105611.jpg,https://rebrickable.com/minifigs/fig-008318/light-bluish-grey-torso-dark-tan-legs-mustache-barrett/,2020-05-27T21:48:02.589810Z
fig-008319,"White Torso with Space Figure, Blue Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-008319/123413.jpg,https://rebrickable.com/minifigs/fig-008319/white-torso-with-space-figure-blue-legs-black-hair/,2020-05-22T19:13:55.541356Z
fig-008320,Bride,4,https://cdn.rebrickable.com/media/sets/fig-008320/82538.jpg,https://rebrickable.com/minifigs/fig-008320/bride/,2020-05-22T19:15:06.651888Z
fig-008321,"Kid, Orange Torso, Red Legs, Dark Orange Hair",4,https://cdn.rebrickable.com/media/sets/fig-008321/101007.jpg,https://rebrickable.com/minifigs/fig-008321/kid-orange-torso-red-legs-dark-orange-hair/,2020-05-22T19:16:08.310796Z
fig-008322,Groom,4,https://cdn.rebrickable.com/media/sets/fig-008322/150383.jpg,https://rebrickable.com/minifigs/fig-008322/groom/,2020-05-22T19:16:48.781878Z
fig-008323,"Medium Blue Torso, Blue Legs, Blue Cap, White Beard",5,https://cdn.rebrickable.com/media/sets/fig-008323/93442.jpg,https://rebrickable.com/minifigs/fig-008323/medium-blue-torso-blue-legs-blue-cap-white-beard/,2021-08-30T16:14:41.619118Z
fig-008324,"Dark Blue Torso, Suit, Dark Blue Legs, Light BLuish Grey Hair",4,https://cdn.rebrickable.com/media/sets/fig-008324/93438.jpg,https://rebrickable.com/minifigs/fig-008324/dark-blue-torso-suit-dark-blue-legs-light-bluish-grey-hair/,2020-05-22T19:18:59.224667Z
fig-008325,"Red Torso, Dark Green Legs, Reddish Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-008325/93443.jpg,https://rebrickable.com/minifigs/fig-008325/red-torso-dark-green-legs-reddish-brown-hair/,2020-05-22T19:19:48.102198Z
fig-008326,"Dark Bluish grey Torso, Jacket, Dark Purple Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-008326/93440.jpg,https://rebrickable.com/minifigs/fig-008326/dark-bluish-grey-torso-jacket-dark-purple-legs-black-hair/,2020-05-22T19:20:36.606732Z
