inventory_id,setnum,num_parts,set_img_url,quantity
1418,7944-1,274,https://cdn.rebrickable.com/media/sets/7944-1.jpg,1
1418,7945-1,604,https://cdn.rebrickable.com/media/sets/7945-1.jpg,1
1421,7869-1,335,https://cdn.rebrickable.com/media/sets/7869-1.jpg,1
1421,7913-1,85,https://cdn.rebrickable.com/media/sets/7913-1.jpg,1
1421,7914-1,68,https://cdn.rebrickable.com/media/sets/7914-1.jpg,1
1438,8148-1,45,https://cdn.rebrickable.com/media/sets/8148-1.jpg,1
1438,8149-1,43,https://cdn.rebrickable.com/media/sets/8149-1.jpg,1
1438,8150-1,55,https://cdn.rebrickable.com/media/sets/8150-1.jpg,1
1438,8151-1,52,https://cdn.rebrickable.com/media/sets/8151-1.jpg,1
1621,8573-1,40,https://cdn.rebrickable.com/media/sets/8573-1.jpg,1
1621,8574-1,40,https://cdn.rebrickable.com/media/sets/8574-1.jpg,1
1634,4709-1,696,https://cdn.rebrickable.com/media/sets/4709-1.jpg,1
1634,4729-1,451,https://cdn.rebrickable.com/media/sets/4729-1.jpg,1
1634,4730-1,597,https://cdn.rebrickable.com/media/sets/4730-1.jpg,1
1645,1958-1,21,https://cdn.rebrickable.com/media/sets/1958-1.jpg,1
1645,1959-1,30,https://cdn.rebrickable.com/media/sets/1959-1.jpg,1
1645,1969-1,38,https://cdn.rebrickable.com/media/sets/1969-1.jpg,1
1645,1970-1,31,https://cdn.rebrickable.com/media/sets/1970-1.jpg,1
1645,1971-1,36,https://cdn.rebrickable.com/media/sets/1971-1.jpg,1
1649,4436-1,97,https://cdn.rebrickable.com/media/sets/4436-1.jpg,1
1649,4437-1,129,https://cdn.rebrickable.com/media/sets/4437-1.jpg,1
1680,8358-1,26,https://cdn.rebrickable.com/media/sets/8358-1.jpg,1
1680,8359-1,27,https://cdn.rebrickable.com/media/sets/8359-1.jpg,1
1680,8360-1,23,https://cdn.rebrickable.com/media/sets/8360-1.jpg,1
1716,1517-1,32,https://cdn.rebrickable.com/media/sets/1517-1.jpg,1
1716,1518-1,82,https://cdn.rebrickable.com/media/sets/1518-1.jpg,1
1726,4200-1,102,https://cdn.rebrickable.com/media/sets/4200-1.jpg,1
1726,4201-1,139,https://cdn.rebrickable.com/media/sets/4201-1.jpg,1
1726,4202-1,269,https://cdn.rebrickable.com/media/sets/4202-1.jpg,1
1726,4203-1,305,https://cdn.rebrickable.com/media/sets/4203-1.jpg,1
1726,4204-1,748,https://cdn.rebrickable.com/media/sets/4204-1.jpg,1
1732,7213-1,388,https://cdn.rebrickable.com/media/sets/7213-1.jpg,1
1732,7241-1,47,https://cdn.rebrickable.com/media/sets/7241-1.jpg,1
1732,7942-1,130,https://cdn.rebrickable.com/media/sets/7942-1.jpg,1
1739,6807-1,24,https://cdn.rebrickable.com/media/sets/6807-1.jpg,1
1739,6822-1,33,https://cdn.rebrickable.com/media/sets/6822-1.jpg,1
1739,6823-1,27,https://cdn.rebrickable.com/media/sets/6823-1.jpg,1
1765,4600-1,23,https://cdn.rebrickable.com/media/sets/4600-1.jpg,1
1765,4604-1,19,https://cdn.rebrickable.com/media/sets/4604-1.jpg,1
1765,4606-1,40,https://cdn.rebrickable.com/media/sets/4606-1.jpg,1
1765,4609-1,97,https://cdn.rebrickable.com/media/sets/4609-1.jpg,1
1791,7418-1,380,https://cdn.rebrickable.com/media/sets/7418-1.jpg,1
1795,8560-1,39,https://cdn.rebrickable.com/media/sets/8560-1.jpg,1
1795,8561-1,42,https://cdn.rebrickable.com/media/sets/8561-1.jpg,1
1795,8562-1,39,https://cdn.rebrickable.com/media/sets/8562-1.jpg,1
1795,8563-1,39,https://cdn.rebrickable.com/media/sets/8563-1.jpg,1
1795,8564-1,39,https://cdn.rebrickable.com/media/sets/8564-1.jpg,1
1795,8565-1,39,https://cdn.rebrickable.com/media/sets/8565-1.jpg,1
1795,8569-1,0,https://cdn.rebrickable.com/media/sets/8569-1.jpg,2
1888,4886-1,667,https://cdn.rebrickable.com/media/sets/4886-1.jpg,1
1888,7280-1,2,https://cdn.rebrickable.com/media/sets/7280-1.jpg,1
1888,7281-1,2,https://cdn.rebrickable.com/media/sets/7281-1.jpg,1
1936,3350-1,27,https://cdn.rebrickable.com/media/sets/3350-1.jpg,1
1936,3351-1,24,https://cdn.rebrickable.com/media/sets/3351-1.jpg,1
1947,4679a-1,1000,https://cdn.rebrickable.com/media/sets/4679a-1.jpg,1
1947,4679b-1,0,https://cdn.rebrickable.com/media/sets/4679b-1.jpg,1
1988,5099-1,1,https://cdn.rebrickable.com/media/sets/5099-1.jpg,1
1988,5107-1,1,https://cdn.rebrickable.com/media/sets/5107-1.jpg,1
1988,5108-1,1,https://cdn.rebrickable.com/media/sets/5108-1.jpg,1
1988,5109-1,6,https://cdn.rebrickable.com/media/sets/5109-1.jpg,1
1989,8827-1,6,https://cdn.rebrickable.com/media/sets/8827-1.jpg,1
1989,8827-10,7,https://cdn.rebrickable.com/media/sets/8827-10.jpg,1
1989,8827-11,7,https://cdn.rebrickable.com/media/sets/8827-11.jpg,1
1989,8827-12,8,https://cdn.rebrickable.com/media/sets/8827-12.jpg,1
1989,8827-13,9,https://cdn.rebrickable.com/media/sets/8827-13.jpg,1
1989,8827-14,7,https://cdn.rebrickable.com/media/sets/8827-14.jpg,1
1989,8827-15,7,https://cdn.rebrickable.com/media/sets/8827-15.jpg,1
1989,8827-16,7,https://cdn.rebrickable.com/media/sets/8827-16.jpg,1
1989,8827-2,7,https://cdn.rebrickable.com/media/sets/8827-2.jpg,1
1989,8827-3,6,https://cdn.rebrickable.com/media/sets/8827-3.jpg,1
1989,8827-4,8,https://cdn.rebrickable.com/media/sets/8827-4.jpg,1
1989,8827-5,8,https://cdn.rebrickable.com/media/sets/8827-5.jpg,1
1989,8827-6,6,https://cdn.rebrickable.com/media/sets/8827-6.jpg,1
1989,8827-7,6,https://cdn.rebrickable.com/media/sets/8827-7.jpg,1
1989,8827-8,8,https://cdn.rebrickable.com/media/sets/8827-8.jpg,1
1989,8827-9,9,https://cdn.rebrickable.com/media/sets/8827-9.jpg,1
2009,8354-1,100,https://cdn.rebrickable.com/media/sets/8354-1.jpg,1
2009,8355-1,87,https://cdn.rebrickable.com/media/sets/8355-1.jpg,1
2054,3741-1,91,https://cdn.rebrickable.com/media/sets/3741-1.jpg,1
2054,3742-1,41,https://cdn.rebrickable.com/media/sets/3742-1.jpg,1
2054,3743-1,106,https://cdn.rebrickable.com/media/sets/3743-1.jpg,1
2103,7895-1,8,https://cdn.rebrickable.com/media/sets/7895-1.jpg,3
2103,7896-1,16,https://cdn.rebrickable.com/media/sets/7896-1.jpg,3
2114,9700-1,472,https://cdn.rebrickable.com/media/sets/9700-1.jpg,1
2114,9750-1,4,https://cdn.rebrickable.com/media/sets/9750-1.jpg,1
2114,9767-1,1,https://cdn.rebrickable.com/media/sets/9767-1.jpg,1
2216,6016-1,37,https://cdn.rebrickable.com/media/sets/6016-1.jpg,1
2216,6041-1,114,https://cdn.rebrickable.com/media/sets/6041-1.jpg,1
2239,1374-1,58,https://cdn.rebrickable.com/media/sets/1374-1.jpg,1
2239,1376-1,249,https://cdn.rebrickable.com/media/sets/1376-1.jpg,1
2239,4850-1,191,https://cdn.rebrickable.com/media/sets/4850-1.jpg,1
2239,4851-1,220,https://cdn.rebrickable.com/media/sets/4851-1.jpg,1
2239,4852-1,360,https://cdn.rebrickable.com/media/sets/4852-1.jpg,1
2258,8916-1,62,https://cdn.rebrickable.com/media/sets/8916-1.jpg,1
2258,8917-1,53,https://cdn.rebrickable.com/media/sets/8917-1.jpg,1
2258,8918-1,50,https://cdn.rebrickable.com/media/sets/8918-1.jpg,1
2258,8919-1,58,https://cdn.rebrickable.com/media/sets/8919-1.jpg,1
2258,8920-1,54,https://cdn.rebrickable.com/media/sets/8920-1.jpg,1
2258,8921-1,47,https://cdn.rebrickable.com/media/sets/8921-1.jpg,1
2270,3740-1,66,https://cdn.rebrickable.com/media/sets/3740-1.jpg,1
2270,3742-1,41,https://cdn.rebrickable.com/media/sets/3742-1.jpg,1
2270,3744-1,106,https://cdn.rebrickable.com/media/sets/3744-1.jpg,1
2364,8130-1,44,https://cdn.rebrickable.com/media/sets/8130-1.jpg,1
2364,8131-1,51,https://cdn.rebrickable.com/media/sets/8131-1.jpg,1
2364,8132-1,41,https://cdn.rebrickable.com/media/sets/8132-1.jpg,1
2364,8133-1,51,https://cdn.rebrickable.com/media/sets/8133-1.jpg,1
2382,10127-1,59,https://cdn.rebrickable.com/media/sets/10127-1.jpg,2
2382,3544-1,147,https://cdn.rebrickable.com/media/sets/3544-1.jpg,1
