inventory_id,fig_num,quantity,set_num,set_url,last_modified
5804,fig-008586,1,fig-008586,https://rebrickable.com/minifigs/fig-008586/racer-blue-jacket-with-octan-logo-blue-legs-blue-cap/,2020-05-25 21:02:44.906696+00:00
5804,fig-008590,1,fig-008590,https://rebrickable.com/minifigs/fig-008590/racer-white-jacket-with-octan-logo-and-race-and-team-white-legs-white-cap-moustache/,2020-05-25 21:08:14.637836+00:00
5805,fig-001447,1,fig-001447,https://rebrickable.com/minifigs/fig-001447/cyborg-with-smile/,2020-04-17 07:58:27.182756+00:00
5806,fig-001769,1,fig-001769,https://rebrickable.com/minifigs/fig-001769/stone-swordsman/,2020-04-13 22:46:34.470331+00:00
5806,fig-002754,1,fig-002754,https://rebrickable.com/minifigs/fig-002754/pythor-p-chumsworth-white-day-of-the-departed/,2020-06-20 15:07:11.334994+00:00
5806,fig-002755,1,fig-002755,https://rebrickable.com/minifigs/fig-002755/nya-in-honor-robes-day-of-the-departed/,2020-06-20 15:06:50.734545+00:00
5806,fig-002756,1,fig-002756,https://rebrickable.com/minifigs/fig-002756/jay-in-honor-robes-with-hair-day-of-the-departed/,2020-06-20 15:06:33.191932+00:00
5806,fig-002757,1,fig-002757,https://rebrickable.com/minifigs/fig-002757/general-kozu/,2020-06-20 15:06:18.363697+00:00
5806,fig-002758,1,fig-002758,https://rebrickable.com/minifigs/fig-002758/general-cryptor/,2020-06-20 15:06:01.877644+00:00
5806,fig-002759,1,fig-002759,https://rebrickable.com/minifigs/fig-002759/master-wu-with-pearl-gold-hat/,2020-06-20 15:05:43.648588+00:00
5806,fig-002760,1,fig-002760,https://rebrickable.com/minifigs/fig-002760/lloyd-in-honor-robes-with-day-of-the-departed/,2021-07-17 12:09:19.291818+00:00
5809,fig-000528,1,fig-000528,https://rebrickable.com/minifigs/fig-000528/nya-the-golden-weapons/,2020-04-13 07:31:52.102592+00:00
5821,fig-000745,1,fig-000745,https://rebrickable.com/minifigs/fig-000745/classic-spaceman-red-with-airtanks-3842b-helmet/,2020-05-04 18:51:49.231901+00:00
5822,fig-010135,1,fig-010135,https://rebrickable.com/minifigs/fig-010135/bright-pink-torso-white-legs-bright-light-yellow-hair/,2020-06-13 20:26:46.925475+00:00
5822,fig-010136,1,fig-010136,https://rebrickable.com/minifigs/fig-010136/blue-torso-reddish-brown-legs-red-cap/,2020-06-13 20:28:32.703047+00:00
5822,fig-010137,1,fig-010137,https://rebrickable.com/minifigs/fig-010137/white-torso-white-legs-reddish-brown-hair/,2020-06-13 20:29:03.757964+00:00
5824,fig-000138,1,fig-000138,https://rebrickable.com/minifigs/fig-000138/axel-trans-neon-green-visor/,2020-05-03 02:28:12.138639+00:00
5827,fig-000394,1,fig-000394,https://rebrickable.com/minifigs/fig-000394/man-blue-shirt-with-buttons-and-pockets-blue-legs-blue-cap-3626b-head/,2020-05-19 22:46:48.892725+00:00
5834,fig-001238,1,fig-001238,https://rebrickable.com/minifigs/fig-001238/spooky-girl-cmf/,2020-07-31 17:53:01.404636+00:00
5842,fig-002431,1,fig-002431,https://rebrickable.com/minifigs/fig-002431/flex-alpha-team/,2020-04-12 17:31:00.781052+00:00
5849,fig-001306,1,fig-001306,https://rebrickable.com/minifigs/fig-001306/evil-robot-cmf/,2020-06-10 17:42:19.190881+00:00
5850,fig-002968,1,fig-002968,https://rebrickable.com/minifigs/fig-002968/kai-with-scabbard-skybound/,2020-04-15 08:57:02.249106+00:00
5850,fig-002969,1,fig-002969,https://rebrickable.com/minifigs/fig-002969/zane-in-prison-outfit/,2020-04-15 08:58:04.906169+00:00
5850,fig-002970,1,fig-002970,https://rebrickable.com/minifigs/fig-002970/prison-guard/,2020-04-15 08:59:10.479152+00:00
5850,fig-002971,1,fig-002971,https://rebrickable.com/minifigs/fig-002971/giant-stone-warrior/,2021-03-19 16:56:12.500454+00:00
5850,fig-002972,1,fig-002972,https://rebrickable.com/minifigs/fig-002972/captain-soto/,2020-06-01 17:30:03.425548+00:00
5856,fig-010168,1,fig-010168,https://rebrickable.com/minifigs/fig-010168/white-torso-dark-blue-legs-dark-brown-hair-nashville/,2020-06-13 20:58:46.277711+00:00
5856,fig-010169,1,fig-010169,https://rebrickable.com/minifigs/fig-010169/white-torso-green-legs-lime-cap-nashville/,2020-06-13 20:59:13.740667+00:00
5856,fig-010170,1,fig-010170,https://rebrickable.com/minifigs/fig-010170/pirate-black-torso-black-leg-peg-leg-nashville/,2021-11-27 12:57:22.535170+00:00
5859,fig-000593,1,fig-000593,https://rebrickable.com/minifigs/fig-000593/hermione-granger-yellow-skin-medium-blue-sweater/,2020-05-04 05:42:10.076431+00:00
5862,fig-000236,4,fig-000236,https://rebrickable.com/minifigs/fig-000236/legoland-police-black-white-hat-white-belt/,2020-04-24 09:16:50.015951+00:00
5864,fig-001308,1,fig-001308,https://rebrickable.com/minifigs/fig-001308/man-open-dark-blue-jacket-tan-legs-black-hair-silver-sunglasses/,2020-06-09 21:14:20.175337+00:00
5869,fig-003461,1,fig-003461,https://rebrickable.com/minifigs/fig-003461/viper-with-binoculars-hanging-round-neck/,2020-04-24 03:12:25.977476+00:00
5869,fig-003462,1,fig-003462,https://rebrickable.com/minifigs/fig-003462/specs-with-ammo-belt/,2020-04-24 03:12:36.104029+00:00
5869,fig-003463,1,fig-003463,https://rebrickable.com/minifigs/fig-003463/digger-with-knife-on-vest/,2020-04-21 22:35:05.427530+00:00
5878,fig-004725,1,fig-004725,https://rebrickable.com/minifigs/fig-004725/soldier-imperial-armada-green-captain/,2020-04-23 17:38:13.951961+00:00
5878,fig-004726,1,fig-004726,https://rebrickable.com/minifigs/fig-004726/soldier-imperial-armada-red-backpack/,2020-04-23 17:40:18.207120+00:00
5878,fig-005161,1,fig-005161,https://rebrickable.com/minifigs/fig-005161/pirate-anchor-tattoo-blue-legs-red-bandana/,2020-04-25 13:45:10.280447+00:00
